,Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits,Tags,Summary,Date_published
1254,For The Girl Who Is Everything,EscapingArtist,21873001,20 Dec 2019,General Audiences,No category,No Archive Warnings Apply,Complete Work,English,"3,368",1,18,114,7,998,"No Archive Warnings Apply, Hermione Granger/Draco Malfoy, Harry Potter, Ginny Weasley, Ron Weasley, Pansy Parkinson, Narcissa Black Malfoy, Christmas Fluff, Domestic Fluff, Doesn't every girl want a castle?, And a pony?, Gift Giving, No Angst, Just all the fluff","\n      It\'s Christmas, and Draco is faced with a nearly impossible task...what do you get for the girl who is everything to you?\n",2019-12-20
1255,What\'s In His Heart,PaulaMcG,21872950,20 Dec 2019,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"5,205",1,0,2,0,794,"No Archive Warnings Apply, Sirius Black/Remus Lupin, Original House-Elf Character(s), Remus Lupin, Sirius Black, Philomela Wotton, William Wotton, James Potter, Lily Evans Potter, Love, Friendship, Summer Vacation, countryside, Meeting the Parents, Remus's Parents OCs, Canon Divergence, Rowling's First Five Books Compliant, POV Wise and Eloquent House-Elf OC, London, James and Lily in Tiny Roles, Remus and Sirius Are Seventeen, Kissing, tentative sex, Bay City Rollers, POV Outsider","\n      In July after his sixth Hogwarts year, Remus brings Sirius to his childhood home.\n",2019-12-20
1256,Supernova,slytherco,21872887,20 Dec 2019,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,852,1,12,278,20,2538,"No Archive Warnings Apply, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, New Year's Eve, Light Angst, Love Confessions, Declarations Of Love, Soft Ending","\n      Day 11 of 25 Days of Drarry.Prompt: \xe2\x80\x9cWill it be too clich\xc3\xa9e to say I love you?\xe2\x80\x9d---On New Year\'s Eve, Draco tries to explain how he feels about Harry.\n",2019-12-20
1257,Undercover,Ladderofyears,21872455,20 Dec 2019,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,289",1,6,164,10,1571,"Creator Chose Not To Use Archive Warnings, Draco Malfoy/Harry Potter, Gawain Robards, Auror Partners, Undercover as a Couple, non-established relationship, Cruise Ships, Dancing, Present Tense, Drarropoly 2.0 - A Drarry Game/Fest",\n      Draco and Harry are working an undercover mission on a cruise ship.\n,2019-12-20
1258,A day in the life,Anita7,21872161,20 Dec 2019,General Audiences,Gen,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",Complete Work,English,277,1,12,85,1,765,"Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply, Harry Potter, Ron Weasley, Hermione Granger, Trans Character, Trans Female Character","\n      How do Harry and Ron get to learn that Hermine is trans? It\'s nothing special, really. Just a day in the life (of a chatterbox)!\n",2019-12-20
1259,Mother\'s Intuition,everlovingdeer,21871852,20 Dec 2019,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"7,105",2,3,681,45,9666,"No Archive Warnings Apply, Charlie Weasley/Original Female Character(s), Charlie Weasley/Reader, Charlie Weasley, Original Female Character(s), Matchmaking, Fluff, Flirting, Matchmaking Molly Weasley, Eventual Relationships","\n      \xe2\x80\x9cHe was the whining son?\xe2\x80\x9d I asked incredulously, pointing towards Weasley who flushed a surprising red at his mother\xe2\x80\x99s nod. Merlin, I couldn\xe2\x80\x99t have stopped myself from laughing if I tried. Not that I did. With an embarrassed frown, Weasley turned his gaze to his mother and whined, \xe2\x80\x9cMum!\xe2\x80\x9d\n",2019-12-20
1260,Christmas Gifts,boredfanwrites,21871798,20 Dec 2019,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,522,1,0,76,3,1392,"No Archive Warnings Apply, Draco Malfoy/Harry Potter, Draco Malfoy & Harry Potter, Draco Malfoy, Harry Potter, harry fucked up, Christmas Presents, Light Angst, Good Draco Malfoy, Redeemed Draco Malfoy, Drabble, Short One Shot",\n      Harry opens Draco\'s gift and reflects on the damage he may have caused.\n,2019-12-20
1261,Bones,sweatyghost,34180711,20 Dec 2019,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"25,065",18,0,9,2,534,"No Archive Warnings Apply, Draco Malfoy/Harry Potter, Draco Malfoy & Harry Potter, Harry Potter, Draco Malfoy, Ron Weasley, Hermione Granger, Narcissa Black Malfoy, Ginny Weasley, Gay, Eating Disorders, Hogwarts Eighth Year, Drarry, Minor Draco Malfoy/Harry Potter, Eventual Draco Malfoy/Harry Potter, Endgame Draco Malfoy/Harry Potter, Completed","\n      [takes place after the war]Students at Hogwarts have been given the chance to redo their seventh year at Hogwarts after the war, among them is Harry Potter and Draco Malfoy. And just because the war is over, doesn\'t mean their lives are without troubles.TWALL RIGHTS GO TO J.K. ROWLING (gross) FOR THE CHARACTERS, SETTING, TIMELINE ETC.\n",2019-12-20
1262,"Goodnight, Sweet Prince",tzigane,21881191,20 Dec 2019,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"6,595",1,2,35,0,715,"Creator Chose Not To Use Archive Warnings, Draco Malfoy/Severus Snape, Lucius Malfoy/Narcissa Black Malfoy, Draco Malfoy, Severus Snape, Lucius Malfoy, Narcissa Black Malfoy, Minerva McGonagall, Albus Dumbledore, Portrait Albus Dumbledore, Alternate Universe - Canon Divergence, Fairy Tale Curses, Draught of Living Death","\n      Once upon a time. That is how the story begins, although perhaps not in the way anyone would imagine. There is no black-white-red, no holy trinity, only this: a wife, a woman, with a lifeless womb and the need, the demand, for quickening. Her husband, a man of good breeding, her own blood and flesh as pure as any, and yet they could not conceive. Year after year, cycle after cycle, and she bore him no child. They traveled, sought out men of knowledge, wise women of power, and returned home again with no answers and no child.\n",2019-12-20
1263,Ten Points to Gryffindor,publishingprince,21877075,20 Dec 2019,Explicit,F/F,Choose Not To Use Archive Warnings,Complete Work,English,"3,418",1,10,219,24,13257,"Creator Chose Not To Use Archive Warnings, Hermione Granger/Ginny Weasley, Hermione Granger, Ginny Weasley, Ron Weasley, Dean Thomas, Lavender Brown, My First Work in This Fandom, My First AO3 Post, My First Fanfic, My First Smut, First Time, Lesbian Sex, Book 6: Harry Potter and the Half-Blood Prince, Community: hermione_smut, Bisexual Ginny Weasley, Pansexual Ginny Weasley, Lesbian Ginny Weasley, Not Suitable/Safe For Work, for my girlfriend, First Lesbian Experience, wlw sex, Held Down, Canon Timeline",\n      Hermione and Ginny find themselves alone in the Gryffindor common room.\n,2019-12-20
1264,Kiss on the Balcony,tweetysrcclt9_aka_MistressL,21871027,20 Dec 2019,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"4,670",1,21,274,24,2671,"No Archive Warnings Apply, Hermione Granger/Harry Potter, Harry Potter, Hermione Granger, Ron Weasley, Ginny Weasley, Lee Jordan, Minerva McGonagall, Teddy Lupin, Alternate Universe - Different First Meeting, Childhood Sweethearts, Fate & Destiny, Fluff, Memories, Sweet Harry, Weddings, First Kiss","\n      Harry Potter was young when he first met Hermione Granger. Who knew that years later, their first meeting would be reenacted on the most important day of their lives? A one-shot based on the song, Love Story by Taylor Swift.\n",2019-12-20
1265,Snow Angel,MykEsprit,21868480,20 Dec 2019,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"1,865",1,19,249,24,2793,"No Archive Warnings Apply, Hermione Granger/Harry Potter, Harry Potter, Hermione Granger, Divorced Hermione, Pining Harry, Christmas Eve, Fluff, Comfort","\n      On Christmas Eve, Harry escorts a drunk Hermione home.\n",2019-12-20
1266,Call Me Jamie,MagicGirlinAMuggleWorld,21867976,20 Dec 2019,Not Rated,Other,No Archive Warnings Apply,Complete Work,English,"3,547",1,16,34,3,359,"No Archive Warnings Apply, James Potter/Lily Evans Potter, James Potter, Lily Evans Potter, Sirius Black, Mary Macdonald, Fluff, LGBTQ Character, LGBTQ Themes, Person of Color James Potter, nonbinary!Jamie Potter, Hair Braiding, Marauders Era (Harry Potter), Alternate Universe - Canon Divergence, Canon Universe",\n      Non-binary Jamie Potter thinks about their identity as Lily helps them get ready for a party at their parents\' house.\n,2019-12-20
1267,One Cold Winter Night,Pauleonotis,21867505,20 Dec 2019,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,996,1,7,155,8,1612,"No Archive Warnings Apply, Draco Malfoy/Harry Potter, Harry Potter, Draco Malfoy, Fluff, Head Auror Harry Potter, Cuddling & Snuggling, it\xe2\x80\x98s almost christmas, Cold Weather, Draco likes reading, Established Relationship, did I forget something?, I probably did-, Well if I ever know what else to put as tags I\xe2\x80\x98ll make sure to add them",\n      Since Harry was promoted as Head Auror he works late at night a lot.Draco loves to cuddle and always makes sure that Harry\xe2\x80\x99s well taken care of (not that he\xe2\x80\x98d ever admit that though).\n,2019-12-20
1268,My Very Brightest Star,Lumeleo,21867238,20 Dec 2019,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"1,131",1,30,474,42,2758,"No Archive Warnings Apply, Draco Malfoy & Scorpius Malfoy, Scorpius Malfoy/Albus Severus Potter, Draco Malfoy, Scorpius Malfoy, Trans Character, FtM Scorpius Malfoy, Draco Malfoy is a Good Parent","\n      When young Cassiopeia wants to tell her father something, Draco does his best to be a better father than his own was. If that means he\'s going to have a son instead of a daughter, well, he\'ll have the most amazing son anyone could hope for.\n",2019-12-20
1269,Under the mistletoe,Elpiniki,21867109,20 Dec 2019,Teen And Up Audiences,F/M,Major Character Death,Complete Work,English,537,1,13,26,3,851,"Major Character Death, Hermione Granger/Draco Malfoy, Draco Malfoy, Hermione Granger, Mistletoe - Character, Implied Violence, Mental Breakdown, Inspired by Harry Potter, Poetry, Poefic, The Slytherin Cabal's Twistmas 2019, Draco\xe2\x80\x99s POV, Implied Hermione Granger/Ron Weasley, Unrequited Love, Obsession","\n      Every year after the war, Draco sees Hermione at Hogwarts Yule Ball.Under the mistletoe - he dreams... wars with himself... covets. Until he doesn\'t.\n",2019-12-20
1270,Christmas With The Wealseys,CheekyTorah,21866839,20 Dec 2019,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,319,1,6,83,5,1025,"Creator Chose Not To Use Archive Warnings, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, First Christmas, Married Couple, Newly weds, Arguments, Molly makes Draco a sweater, Short, Fluff and Angst, Warm, Bright - Freeform, Love, married",\n      Draco has had ENOUGH and won\xe2\x80\x99t be subjected to a moment more of this blatant disrespect.\n,2019-12-20
1271,revenge is best served sweet,unconditional_potter (orphan_account),21866725,20 Dec 2019,Teen And Up Audiences,M/M,Graphic Depictions Of Violence,Complete Work,English,717,1,0,87,7,1951,"Graphic Depictions Of Violence, Sirius Black/Remus Lupin, Sirius Black, Remus Lupin, Walburga Black, Regulus Black, Hurt/Comfort, Torture, Implied/Referenced Alcohol Abuse/Alcoholism, Physical Abuse, Marauders Era (Harry Potter)","\n      Based on the following prompt ""If I ever see you anywhere near her, you\xe2\x80\x99ll have to deal with me"" - Wolfstar.\n",2019-12-20
1272,Beyond Measure,Hawksquill,21866677,20 Dec 2019,Teen And Up Audiences,F/F,No Archive Warnings Apply,Complete Work,English,"1,239",1,14,64,3,581,"No Archive Warnings Apply, Luna Lovegood/Ginny Weasley, Luna Lovegood, Ginny Weasley, Fluff, Christmas Fluff, Lesbian Luna Lovegood, Lesbian Ginny Weasley, Canon Divergence - Post-Hogwarts, Post-Hogwarts, Baking, Romantic Comedy, Romance, Complete, One Shot, Cute, Kissing, Fade to Black, Christmas, Established Relationship, Harry Potter Epilogue What Epilogue | EWE, Femslash, Tooth-Rotting Fluff, Don't Post To Another Site","\n      It\'s Ginny and Luna\'s first Christmas Eve together, and Ginny is taking Luna home to ""meet the parents"" as her girlfriend for the first time on Christmas Day.  They decide to bake cookies for the occasion, but Luna doesn\'t believe in recipes or measuring and Ginny isn\'t much better.  Hilarity and cuteness ensue.\n",2019-12-20
1273,"on the shore she waits, wishing for a miracle and the depths say no",fandom_sexual,21865900,20 Dec 2019,Teen And Up Audiences,Gen,Choose Not To Use Archive Warnings,Work in Progress,English,428,1,0,7,1,86,"Creator Chose Not To Use Archive Warnings, Hannah Abbott & Susan Bones, Hannah Abbott, Susan Bones, Book 4: Harry Potter and the Goblet of Fire, Alternate Universe - Canon Divergence, The Great Lake | The Black Lake (Harry Potter), POV Female Character, POV Hannah Abbott","\n      On the shore of the Black Lake, Hannah waits for a miracle, but the dark murky depths are as unyielding as ever.\n",2019-12-20
1274,Whispers,Blue_Pandas,21865861,20 Dec 2019,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,925",1,47,941,156,6227,"Creator Chose Not To Use Archive Warnings, Harry Potter/Tom Riddle, Harry Potter, Tom Riddle, Draco Malfoy, Daphne Greengrass, Luna Lovegood, Major Character Injury, Hurt/Comfort, POV Outsider, Hospitalization, Fake/Pretend Relationship, Vampires, Fluff, Alternate Universe - Spies & Secret Agents, Don't copy to another site",\n      Everyone at Interspecies Relations knows Tom Riddle despises Harry Potter. No one anticipates the fallout when Tom and Harry are ordered to go undercover as a couple.\n,2019-12-20
1275,All I Want For Christmas,TLM8,21852154,20 Dec 2019,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"9,407",2,19,241,60,2764,"Creator Chose Not To Use Archive Warnings, Hermione Granger/Harry Potter, Viktor Krum/Original Female Character(s), Past Harry Potter/Ginny Weasley, Past Hermione Granger/Ron Weasley, Romance, Mutual Pining, Christmas Fluff, Sneakiness, Bets and Wagers","\n      Hermione wants to get her former boyfriend a really outstanding Christmas present this year, but will need her other best friend\'s help to make it happen. What\'s one little kiss between friends? Loosely inspired by a mistletoe kiss scene between Booth and Brennan in Bones. Written for the Harmony Advent Collection 2019.\n",2019-12-20
1276,He likes to bake the muggle way,handwritten (onefromanotherworld),21844162,20 Dec 2019,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"4,990",3,8,211,21,2667,"No Archive Warnings Apply, Draco Malfoy/Harry Potter, Hermione Granger/Ron Weasley, Harry Potter, Hermione Granger, Ron Weasley, Draco Malfoy, Howlers (Harry Potter), Baker Harry, Teacher Harry, Chocolate Frog Cards, Hogwarts Eighth Year, Not Canon Compliant, Don\xe2\x80\x99t copy to another site, Near Future, Married Life","\n      The back of Harry\xe2\x80\x99s chocolate frog card reads as follows:Harry James Potter (1980-?)Currently DADA professor at HogwartsNamed \xe2\x80\x98The boy who lived\xe2\x80\x99 for being the only person known to date who has survived the killing course twice. He defeated Dark Wizard Lord Voldemort at the Battle Of Hogwarts in 1998. More recently, became the first person to effectively counteract a red Howler. Potter likes to play Quidditch and bake the muggle way in his free time.\n",2019-12-18
1277,Letters to Santa,GaeilgeRua,21764320,20 Dec 2019,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"2,032",1,5,55,2,834,"No Archive Warnings Apply, Marcus Flint/Hermione Granger, Draco Malfoy/Ginny Weasley, Luna Lovegood/George Weasley, Draco Malfoy, George Weasley, Ginny Weasley, Hermione Granger, Luna Lovegood, Marcus Flint, Alternate Universe, Epistolary, Friendship, Letters to Santa, Tooth-Rotting Fluff",\n      You\'re never too old to write a letter to Santa.\n,2019-12-20
1278,Like Sand Through Fingers,xenadragon_xoxo,21756910,20 Dec 2019,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"17,846",1,35,372,51,3957,"No Archive Warnings Apply, Harry Potter/Severus Snape, Severus Snape, Harry Potter, Secret Snarry Swap 2019","\n      When the new Director of the Department of Magical Law Enforcement finds out that Harry never achieved an O.W.L. in Potions, she takes him off Auror duty and sends him back to Hogwarts to take Seventh year Potions. Harry thinks it can\'t get any worse, but then he finds out that the Potions teacher is still Snape.\n",2019-12-20
1279,The Quandum Quandary: Harry and Draco\xe2\x80\x99s Month of Mayhem,violetclarity,21611431,20 Dec 2019,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,"34,438",4,58,566,108,6778,"No Archive Warnings Apply, Draco Malfoy/Harry Potter, Harry Potter & Ron Weasley, Millicent Bulstrode & Draco Malfoy, Hermione Granger & Harry Potter, Draco Malfoy, Harry Potter, Minerva McGonagall, Hermione Granger, Ron Weasley, Millicent Bulstrode, Hogwarts Staff, Hogwarts Students, Original Animal Character(s), Harry Potter Epilogue What Epilogue | EWE, Post-Second War with Voldemort, Post-Hogwarts, Hogwarts, Professor Harry Potter, Professor Draco Malfoy, Ward Expert Hermione Granger, Shopkeeper Millicent Bulstrode, Pets, Magical Animals, Biology, Discussion of Animal Gestation, Pet Pregnancy, Marsupial Birth, Humor, Bickering, Unusual Situations, Magical Theory, Pining, Past friends with benefits, Explicit Sexual Content, Implied/Referenced Underage Sex, Consent, Communication, Friendship, Happy Ending, H/D Erised 2019, Getting Back Together, Hogwarts Professors, POV Alternating","\n      McGonagall\xe2\x80\x99s out to get Harry and Draco, with a laundry list of new duties for them now that Hogwarts\xe2\x80\x99 contraceptive wards have fallen. Hermione\xe2\x80\x99s been called in to fix them, but in the meantime Harry and Draco are patrolling the corridors, babysitting owl nests, and trawling for giant squid eggs in the Great Lake. Plus their pets, both rare Australian marsupials called Quandums, are having a baby together.It would all be easier to handle if they weren\xe2\x80\x99t still thinking about their casual physical relationship, which ended years ago.\n",2019-12-20
1280,New and Old Traditions,Titti,21583657,20 Dec 2019,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,943,1,4,32,3,333,"No Archive Warnings Apply, Draco Malfoy/Harry Potter, Harry Potter, Draco Malfoy, Challenge Response, Christmas Fluff",\n      Harry suggests that they spend their Christmas away from England.\n,2019-12-20
1281,Morning.,Enikawa_Moriko,21537805,20 Dec 2019,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,0,1,17,182,2,3762,"No Archive Warnings Apply, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Teddy Lupin, Post-Hogwarts, Post-Second War with Voldemort, Harry Potter Epilogue What Epilogue | EWE, Established Relationship, Married Draco Malfoy/Harry Potter, Art, Digital Art, Fanart, Mornings, H/D Erised 2019",\n      A cozy morning at the Potter-Malfoys\xe2\x80\x99.\n,2019-12-20
1282,Tell Me Who,orpheous87,21313918,20 Dec 2019,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"4,254",1,5,156,20,1604,"No Archive Warnings Apply, Draco Malfoy/Harry Potter, implied Cho Chang/Ginny Weasley, Implied Oliver Wood/Percy Weasley, Draco Malfoy, Harry Potter, Masquerade Ball, New Year's Kiss, Quidditch Player Harry Potter, Quidditch Player Draco Malfoy, Enemies to Lovers, Angry Harry Potter, Smug Draco Malfoy, Swearing","\n      Harry Potter has enjoyed much success since becoming Seeker of Puddlemere United, but when Draco Malfoy becomes Seeker of Montrose Magpies, it\'s not just the Quidditch League that he shakes up. And just who is the mystery man that catches Harry\'s eye at the Annual Masquerade Ball?\n",2019-12-20
1283,In the Name of Christmas,Debboluh,12947451,20 Dec 2019,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"11,826",8,39,182,24,4045,"No Archive Warnings Apply, Hermione Granger/Draco Malfoy, Hermione Granger, Draco Malfoy, George Weasley, Gregory Goyle, Alternate Universe - Muggle, Alternate Universe - Non-Magical, Christmas, Alternate Universe - Coffee Shops & Caf\xc3\xa9s, Muggle AU, Coffee Shop, Harry Potter Epilogue What Epilogue | EWE, Christmas Fluff, Romantic Fluff, Fluff, Don\xe2\x80\x99t copy to another site, Falling In Love, Complete","\n      While working at a coffee shop one December night, a handsome stranger come in from the weather. Muggle AU where there is only the magic of the holidays.While the gang did meet at Hogwarts, Draco was attending school in Paris. Inspired by Romantic Christmas movies, that may not have the best plot, but i find them enjoyable! (Shout out to \'A Christmas Prince\' and \'The Spirit of Christmas\' on Netflix)*COMPLETE*\n",2017-12-08
1284,[Podfic] Being Liquid,sophinisba,9928877,20 Dec 2019,Mature,Other,No Archive Warnings Apply,Complete Work,English,23,2,5,19,3,328,"No Archive Warnings Apply, Teddy Lupin/Victoire Weasley, Teddy Lupin, Victoire Weasley, Podfic, Podfic Length: 30-45 Minutes, Audio Format: MP3, Audio Format: Streaming, Audio Format: M4B, Genderqueer Character, Trans Character, Queer Themes, HP: Epilogue Compliant, Community: pod_aware","\n      rotaryphones\'s story read aloud: ""When Teddy discovers a new way to be liquid, Victoire helps him to find stability.""\n",2011-11-10
1285,Forewarned,Ornery Otter (Greiver_Dhark),21871384,20 Dec 2019,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"2,685",1,0,49,7,539,"No Archive Warnings Apply, Harry Potter, Remus Lupin, Poppy Pomfrey, Minerva McGonagall, Albus Dumbledore, Cornelius Fudge, Tom Riddle | Voldemort, Ron Weasley, Hermione Granger, Ginny Weasley","\n      A second story spawned by the boggart in third year. What if Harry\xe2\x80\x99s boggart had turned into Voldemort, as Lupin had thought it would?\n",2019-12-20
1286,of all the things that help,luckybarton,21871054,20 Dec 2019,Teen And Up Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"1,051",1,25,456,31,2808,"No Archive Warnings Apply, Harry Potter, Molly Weasley, Ron Weasley, Abuse, Transphobia, Childhood Trauma, Healing, Family Feels, the weasleys - Freeform, Trans Male Character, Trans Male Harry Potter, Trans Harry Potter, Mentioned Hermione Granger, Magical Transition, fic written to spite JKR's transphobia, Rejection, Mild Hurt/Comfort, Found Family","\n      Harry comes out as a trans man at Hogwarts to little fanfare or dramatics, because Wizarding society is like that. The Dursleys are another story.\n",2019-12-20
1287,The Boy Who Lived to Matchmake,kaitward,15574377,20 Dec 2019,Teen And Up Audiences,F/M,No Archive Warnings Apply,Work in Progress,English,"45,805",21,148,764,155,16452,"No Archive Warnings Apply, Hermione Granger/Draco Malfoy, Harry Potter/Ginny Weasley, Ron Weasley, Harry Potter, Draco Malfoy, Hermione Granger, Ginny Weasley, Anthony Goldstein, Narcissa Black Malfoy, Post-Hogwarts, Auror Partners, POV Draco Malfoy, POV Harry Potter, Pining Draco Malfoy, Redeemed Draco Malfoy, Hermione Granger & Harry Potter Friendship, Romance, Auror Draco Malfoy, Auror Hermione Granger, Work In Progress, Slow Burn","\n      Harry Potter has become very proud of his investigatory skills, and is increasingly sure that Draco Malfoy has fallen for Hermione Granger. Determined to test his theory, he orchestrates meetings between the two. Meanwhile, Draco is dealing with guilt, self-loathing, and a very awkward issue involving his \'broomstick\'. Told as a mix of Harry and Draco\'s POVs.\n",2018-08-05
1288,"This Song, It Spells Disaster",Lucy_Luna,20173678,20 Dec 2019,Teen And Up Audiences,"F/M, Gen",No Archive Warnings Apply,Complete Work,English,"40,239",9,6,37,0,875,"No Archive Warnings Apply, Harry Potter & Original Female Character(s), Colin Creevey/Original Female Character(s), Severus Snape/Original Female Character(s), Original Female Character(s) & Original Female Character(s), Original Female Character(s), Severus Snape, Harry Potter, Colin Creevey, Harry Potter Characters, Sequel, Alternate Universe, Alternate Universe - Canon Divergence, The Golden Trio Era (Harry Potter), Family, Drama, Family Drama, Sister-Sister Relationship, Friendship, Friends to Lovers, Romance, Teen Romance, Angst, Growing Up, Mild Sexual Content, Heartache, Break Up, POV Original Female Character, Original Character-centric, Canonical Character Death, Parent Severus Snape, Not Canon Compliant - Harry Potter and the Half-Blood Prince, Male-Female Friendship, Original Character(s), Character Death, Original Character Death(s)",\n      Essie Snape\xe2\x80\x99s fourth year at Hogwarts proved it was going to be a stressful one before it even began when she learned the reason why her parents had been fighting with each other for the last few weeks of the summer.\n,2019-08-09
1289,best friend,onceagainoncemore,21870151,20 Dec 2019,Teen And Up Audiences,"Gen, M/M",No Archive Warnings Apply,Complete Work,English,"2,020",1,6,348,29,2422,"No Archive Warnings Apply, Remus Lupin & Lily Evans Potter, Sirius Black/Remus Lupin, Remus Lupin, Lily Evans Potter, Sirius Black, James Potter, Peter Pettigrew, jily is mentioned, Crushes, Rated T for language, Marauders Era (Harry Potter), Bisexual Remus Lupin, Fluff, Pre-Relationship, Friendship, Friends to Lovers, Getting Together","\n      \xe2\x80\x9cI\xe2\x80\x99m disowning you, Prongs, just for the record. Lily is my best friend now. Get out of my room.\xe2\x80\x9d\n",2019-12-20
1290,Gabrielle/Tonks Short Stories,shyath,21870139,20 Dec 2019,Teen And Up Audiences,F/F,Choose Not To Use Archive Warnings,Complete Work,English,"2,563",2,0,1,0,133,"Creator Chose Not To Use Archive Warnings, Gabrielle Delacour/Nymphadora Tonks, Gabrielle Delacour, Nymphadora Tonks, Community: contrelamontre",\n      Crossposted from Fanfiction.net. Short stories featuring Gabrielle/Tonks.\n,2019-12-20
1291,Cho/Padma Drabbles and Short Stories,shyath,21870088,20 Dec 2019,Teen And Up Audiences,F/F,Choose Not To Use Archive Warnings,Complete Work,English,"6,323",5,0,2,0,55,"Creator Chose Not To Use Archive Warnings, Cho Chang/Padma Patil, Cho Chang, Padma Patil, Community: slashthedrabble, Community: hp_diversity, Community: femmefest",\n      Crossposted from Fanfiction.net. Various drabbles and short stories featuring Cho/Padma.\n,2019-12-20
1292,beginning of the tunnel,bea_meupscotty,21869728,20 Dec 2019,Teen And Up Audiences,Multi,No Archive Warnings Apply,Work in Progress,English,"10,053",4,4,28,3,448,"No Archive Warnings Apply, eventual Hermione Granger/Tom Riddle, Hermione Granger, Ron Weasley, Ginny Weasley, Tom Riddle | Voldemort, Abraxas Malfoy, Ignatius Prewett, Albus Dumbledore, Minerva McGonagall, Time Travel AU, Alternate Universe - Canon Divergence, Riddle at Hogwarts Era, Young Tom Riddle, somewhat dark Ginny Weasley","\n      They needed time, time, time, more time, they were running out of time, time, she was thinking, desperate, legs screaming as she pushed herself to run even faster, and then she saw, on the corridor to the side of them, a door appear.\xc2\xa0A time travel AU in which Ron, Ginny and Hermione, in the heat of the battle at Hogwarts, get sent back to Hogwarts with a young Tom Riddle.\n",2019-12-20
1293,Andromeda/Bellatrix Drabbles and Short Stories,shyath,21869668,20 Dec 2019,Teen And Up Audiences,F/F,Choose Not To Use Archive Warnings,Complete Work,English,448,3,0,12,0,536,"Creator Chose Not To Use Archive Warnings, Bellatrix Black Lestrange/Andromeda Black Tonks, Bellatrix Black Lestrange, Andromeda Black Tonks, Blackcest (Harry Potter), Community: femslash100, Community: slashthedrabble",\n      Crossposted from Fanfiction.net. Various drabbles and short stories featuring Andromeda/Bellatrix.\n,2019-12-20
1294,Lily/Narcissa Drabbles and Short Stories,shyath,21869593,20 Dec 2019,Teen And Up Audiences,F/F,Choose Not To Use Archive Warnings,Complete Work,English,"4,672",6,0,25,2,427,"Creator Chose Not To Use Archive Warnings, Narcissa Black Malfoy/Lily Evans Potter, Lucius Malfoy/Narcissa Black Malfoy, James Potter/Lily Evans Potter, Narcissa Black Malfoy, Lily Evans Potter, Lucius Malfoy, Draco Malfoy, Community: femslash100, Community: contrelamontre, Community: slashthedrabble",\n      Crossposted from Fanfiction.net. Various drabbles and short stories featuring Lily/Narcissa.\n,2019-12-20
1295,An unforseeable reunion,Angelamore,21869620,20 Dec 2019,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,724,1,0,17,1,358,"Creator Chose Not To Use Archive Warnings, Remus Lupin/Nymphadora Tonks, Remus Lupin, Nymphadora Tonks, Sirius Black, Reunions, Mild Language, Portrait Sirius Black, Hogwarts Sixth Year, Second War with Voldemort","\n      Remus feels lonely at Grimmauld Place after the teenagers left for Hogwarts, when he meets an old friend again.\n",2019-12-20
